N,method,evals,best_E,best_F
40,tabu,29888671,108,7.407407
40,final,60000024,108,7.407407
41,tabu,1,1320,0.636742
41,tabu,42,856,0.981893
41,tabu,83,636,1.321541
41,tabu,124,500,1.681000
41,tabu,165,380,2.211842
41,tabu,206,344,2.443314
41,tabu,247,288,2.918403
41,tabu,288,228,3.686404
41,tabu,575,216,3.891204
41,tabu,657,200,4.202500
41,tabu,1477,192,4.377604
41,tabu,9103,180,4.669444
41,tabu,15950,168,5.002976
41,tabu,17385,164,5.125000
41,tabu,119435,156,5.387821
41,tabu,185035,152,5.529605
41,tabu,221443,144,5.836806
41,tabu,304920,140,6.003571
41,tabu,340098,116,7.245690
41,tabu,4374537,112,7.504464
41,tabu,55486217,108,7.782407
41,final,78000050,108,7.782407
42,tabu,1,837,1.053763
42,tabu,43,589,1.497453
42,tabu,85,429,2.055944
42,tabu,127,341,2.586510
42,tabu,169,293,3.010239
42,tabu,211,277,3.184116
42,tabu,253,261,3.379310
42,tabu,421,213,4.140845
42,tabu,1597,205,4.302439
42,tabu,2479,157,5.617834
42,tabu,54979,141,6.255319
42,tabu,70561,125,7.056000
42,tabu,2584914,101,8.732673
42,final,60000002,101,8.732673
43,tabu,1,1169,0.790847
43,tabu,44,713,1.296634
43,tabu,87,533,1.734522
43,tabu,130,357,2.589636
43,tabu,173,261,3.542146
43,tabu,216,229,4.037118
43,tabu,904,225,4.108889
43,tabu,1377,221,4.183258
43,tabu,2237,181,5.107735
43,tabu,11052,173,5.343931
43,tabu,32724,165,5.603030
43,tabu,110984,153,6.042484
43,tabu,239383,149,6.204698
43,tabu,1576609,133,6.951128
43,tabu,3232940,125,7.396000
43,tabu,26156102,117,7.901709
43,tabu,51425194,109,8.481651
43,final,78000043,109,8.481651
44,tabu,1,498,1.943775
44,tabu,45,414,2.338164
44,tabu,89,346,2.797688
44,tabu,133,246,3.934959
44,tabu,177,234,4.136752
44,tabu,485,182,5.318681
44,tabu,50953,170,5.694118
44,tabu,434900,162,5.975309
44,tabu,935184,146,6.630137
44,tabu,4221396,142,6.816901
