phase,seed,lens_or_arm,target,family,deg,attempt,hit,accepted,false_accept,alias,ev_lb,ev_tb,ev_cmp,ev_k0,stat,true_stat,val_stat,consistent,rank,cov_before,cov_after,r2,tax,tax_corr,evals,note
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,18,1,0,0,0,0x04,0x0B,0x0000000,0,0.0549,0.0384,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,18,1,0,0,0,0x0A,0x05,0x0000000,0,0.1200,0.1079,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,18,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,18,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
lab,0xF0235A11CE0FF1CE,LG_gf2,"C01 XOR 0x0F",xor_popcount,4,18,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,1,45,,,,,,1,
lab,0xF0235A11CE0FF1CE,L0_tb_argmax,"C01 XOR 0x0F",xor_popcount,4,19,0,0,0,0,0x00,0x63,0x0000000,0,0.0709,0.0029,0.0000,0,0,,,,,,162,
lab,0xF0235A11CE0FF1CE,L1_single_up,"C01 XOR 0x0F",xor_popcount,4,19,0,0,0,0,0x01,0xC2,0x0000000,0,0.0611,0.0330,0.0000,0,0,,,,,,1016,
lab,0xF0235A11CE0FF1CE,L2_pair_up,"C01 XOR 0x0F",xor_popcount,4,19,1,0,0,0,0x09,0x06,0x0000000,0,0.1371,0.1068,0.0000,0,0,,,,,,1792,
lab,0xF0235A11CE0FF1CE,L3_gibbs,"C01 XOR 0x0F",xor_popcount,4,19,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,0.0000,1.0000,0,0,,,,,,29,
lab,0xF0235A11CE0FF1CE,LW_mod2_wht,"C01 XOR 0x0F",xor_popcount,4,19,1,1,0,0,0x0F,0x00,0x0000000,0,1.0000,1.0000,1.0000,0,0,,,,,,511,
