attack,item,detail,depth,n_streams,L,threshold,trials,m1,m2,m3,m4,witness,note
A4_ladder,dev_k4_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k4_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k4_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k5_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.896667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k5_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.253333,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k5_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.003333,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k5_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k6_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.973333,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k6_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.683333,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k6_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.256667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k6_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.065000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k7_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.996667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k7_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.910000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k7_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.686667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k7_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.482500,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k8_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,0.996667,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k8_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,1.000000,0.973333,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k8_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,1.000000,0.920000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,dev_k8_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,1.000000,0.836500,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,horizon_bomb_n8_L28,vs_gxor_chain0,1,8,28,0.950,300,1.000000,1.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,horizon_bomb_n32_L64,vs_gxor_chain0,1,32,64,0.950,300,0.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,horizon_bomb_n64_L128,vs_gxor_chain0,1,64,128,0.950,300,0.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_ladder,horizon_bomb_n64_L256,vs_gxor_chain0,1,64,256,0.950,2000,0.000000,0.000000,0.000000,0.000000,"","m1=pass@0.95 m2=pass@exact"
A4_cost,census_inv8_prefix13_d4,prod_vs_correctedexact,4,64,256,1.000,1,70.000000,13.000000,1.000000,1.000000,"","m1=prod ms m2=corrected ms"
