iter,T,value,min_pair,best_value,best_min_pair,accepted
760,1.7535,959,26,965,17,1
761,1.7500,959,26,965,17,1
762,1.7465,959,26,965,17,1
763,1.7430,959,26,965,17,1
764,1.7395,959,26,965,17,1
765,1.7361,959,26,965,17,0
766,1.7326,959,26,965,17,1
767,1.7291,959,26,965,17,1
768,1.7257,959,26,965,17,1
769,1.7222,959,26,965,17,0
770,1.7188,959,26,965,17,1
771,1.7154,959,26,965,17,1
772,1.7120,959,26,965,17,1
773,1.7085,959,26,965,17,1
774,1.7051,959,26,965,17,1
775,1.7017,959,26,965,17,1
776,1.6983,959,26,965,17,0
777,1.6949,959,26,965,17,1
778,1.6916,959,26,965,17,1
779,1.6882,959,26,965,17,1
780,1.6848,959,26,965,17,1
781,1.6815,959,26,965,17,1
782,1.6781,959,26,965,17,1
783,1.6748,959,26,965,17,0
784,1.6714,959,26,965,17,1
785,1.6681,959,26,965,17,1
786,1.6648,959,26,965,17,0
787,1.6614,959,26,965,17,1
788,1.6581,959,26,965,17,1
789,1.6548,959,26,965,17,0
790,1.6515,959,26,965,17,1
791,1.6482,959,26,965,17,1
792,1.6449,959,26,965,17,0
793,1.6416,959,26,965,17,1
794,1.6384,959,26,965,17,1
795,1.6351,959,26,965,17,1
796,1.6318,959,26,965,17,1
797,1.6286,959,26,965,17,1
798,1.6253,959,26,965,17,1
799,1.6221,959,26,965,17,1
800,1.6189,959,26,965,17,1
801,1.6156,959,26,965,17,1
802,1.6124,959,26,965,17,1
803,1.6092,959,26,965,17,1
804,1.6060,959,26,965,17,1
805,1.6028,959,26,965,17,1
806,1.5996,959,26,965,17,1
807,1.5964,959,26,965,17,1
808,1.5932,959,26,965,17,0
809,1.5900,959,26,965,17,1
810,1.5868,959,26,965,17,1
811,1.5837,959,26,965,17,1
812,1.5805,959,26,965,17,1
